iterasyon 0, epoch 1/100, Loss: 7.7986, Learning rate: 1e-05, MSE Loss: 1.2423, CE Loss: 6.5563, Accuracy: 0.00%
iterasyon 1, epoch 2/100, Loss: 7.6448, Learning rate: 1e-05, MSE Loss: 1.0910, CE Loss: 6.5538, Accuracy: 0.00%
iterasyon 2, epoch 3/100, Loss: 7.5010, Learning rate: 1e-05, MSE Loss: 0.9499, CE Loss: 6.5511, Accuracy: 0.00%
iterasyon 3, epoch 4/100, Loss: 7.3705, Learning rate: 1e-05, MSE Loss: 0.8222, CE Loss: 6.5483, Accuracy: 0.00%
iterasyon 4, epoch 5/100, Loss: 7.2542, Learning rate: 1e-05, MSE Loss: 0.7088, CE Loss: 6.5454, Accuracy: 0.00%
iterasyon 5, epoch 6/100, Loss: 7.1522, Learning rate: 1e-05, MSE Loss: 0.6099, CE Loss: 6.5423, Accuracy: 0.00%
iterasyon 6, epoch 7/100, Loss: 7.0649, Learning rate: 1e-05, MSE Loss: 0.5259, CE Loss: 6.5390, Accuracy: 0.00%
iterasyon 7, epoch 8/100, Loss: 6.9920, Learning rate: 1e-05, MSE Loss: 0.4565, CE Loss: 6.5355, Accuracy: 0.00%
iterasyon 8, epoch 9/100, Loss: 6.9299, Learning rate: 1e-05, MSE Loss: 0.3982, CE Loss: 6.5317, Accuracy: 0.00%
iterasyon 9, epoch 10/100, Loss: 6.8774, Learning rate: 1e-05, MSE Loss: 0.3498, CE Loss: 6.5276, Accuracy: 0.00%
iterasyon 10, epoch 11/100, Loss: 6.8340, Learning rate: 1e-05, MSE Loss: 0.3107, CE Loss: 6.5233, Accuracy: 0.00%
iterasyon 11, epoch 12/100, Loss: 6.7971, Learning rate: 1e-05, MSE Loss: 0.2783, CE Loss: 6.5188, Accuracy: 0.00%
iterasyon 12, epoch 13/100, Loss: 6.7654, Learning rate: 1e-05, MSE Loss: 0.2514, CE Loss: 6.5140, Accuracy: 0.00%
iterasyon 13, epoch 14/100, Loss: 6.7377, Learning rate: 1e-05, MSE Loss: 0.2287, CE Loss: 6.5090, Accuracy: 0.00%
iterasyon 14, epoch 15/100, Loss: 6.7136, Learning rate: 1e-05, MSE Loss: 0.2097, CE Loss: 6.5039, Accuracy: 0.00%
iterasyon 15, epoch 16/100, Loss: 6.6922, Learning rate: 1e-05, MSE Loss: 0.1936, CE Loss: 6.4986, Accuracy: 0.00%
iterasyon 16, epoch 17/100, Loss: 6.6731, Learning rate: 1e-05, MSE Loss: 0.1799, CE Loss: 6.4931, Accuracy: 0.00%
iterasyon 17, epoch 18/100, Loss: 6.6558, Learning rate: 1e-05, MSE Loss: 0.1684, CE Loss: 6.4874, Accuracy: 0.00%
iterasyon 18, epoch 19/100, Loss: 6.6399, Learning rate: 1e-05, MSE Loss: 0.1585, CE Loss: 6.4814, Accuracy: 0.00%
iterasyon 19, epoch 20/100, Loss: 6.6251, Learning rate: 1e-05, MSE Loss: 0.1498, CE Loss: 6.4752, Accuracy: 0.00%
iterasyon 20, epoch 21/100, Loss: 6.6110, Learning rate: 1e-05, MSE Loss: 0.1422, CE Loss: 6.4688, Accuracy: 0.00%
iterasyon 21, epoch 22/100, Loss: 6.5977, Learning rate: 1e-05, MSE Loss: 0.1356, CE Loss: 6.4621, Accuracy: 0.00%
iterasyon 22, epoch 23/100, Loss: 6.5851, Learning rate: 1e-05, MSE Loss: 0.1297, CE Loss: 6.4553, Accuracy: 0.00%
iterasyon 23, epoch 24/100, Loss: 6.5729, Learning rate: 1e-05, MSE Loss: 0.1246, CE Loss: 6.4483, Accuracy: 0.00%
iterasyon 24, epoch 25/100, Loss: 6.5611, Learning rate: 1e-05, MSE Loss: 0.1199, CE Loss: 6.4413, Accuracy: 0.00%
iterasyon 25, epoch 26/100, Loss: 6.5496, Learning rate: 1e-05, MSE Loss: 0.1156, CE Loss: 6.4339, Accuracy: 0.00%
iterasyon 26, epoch 27/100, Loss: 6.5384, Learning rate: 1e-05, MSE Loss: 0.1118, CE Loss: 6.4266, Accuracy: 0.00%
iterasyon 27, epoch 28/100, Loss: 6.5274, Learning rate: 1e-05, MSE Loss: 0.1083, CE Loss: 6.4191, Accuracy: 0.00%
iterasyon 28, epoch 29/100, Loss: 6.5165, Learning rate: 1e-05, MSE Loss: 0.1051, CE Loss: 6.4115, Accuracy: 0.00%
iterasyon 29, epoch 30/100, Loss: 6.5059, Learning rate: 1e-05, MSE Loss: 0.1021, CE Loss: 6.4038, Accuracy: 0.00%
iterasyon 30, epoch 31/100, Loss: 6.4954, Learning rate: 1e-05, MSE Loss: 0.0993, CE Loss: 6.3961, Accuracy: 0.00%
iterasyon 31, epoch 32/100, Loss: 6.4851, Learning rate: 1e-05, MSE Loss: 0.0968, CE Loss: 6.3883, Accuracy: 0.00%
iterasyon 32, epoch 33/100, Loss: 6.4749, Learning rate: 1e-05, MSE Loss: 0.0945, CE Loss: 6.3804, Accuracy: 0.00%
iterasyon 33, epoch 34/100, Loss: 6.4647, Learning rate: 1e-05, MSE Loss: 0.0923, CE Loss: 6.3724, Accuracy: 0.00%
iterasyon 34, epoch 35/100, Loss: 6.4546, Learning rate: 1e-05, MSE Loss: 0.0903, CE Loss: 6.3643, Accuracy: 0.00%
iterasyon 35, epoch 36/100, Loss: 6.4448, Learning rate: 1e-05, MSE Loss: 0.0885, CE Loss: 6.3563, Accuracy: 0.00%
iterasyon 36, epoch 37/100, Loss: 6.4350, Learning rate: 1e-05, MSE Loss: 0.0867, CE Loss: 6.3483, Accuracy: 0.00%
iterasyon 37, epoch 38/100, Loss: 6.4252, Learning rate: 1e-05, MSE Loss: 0.0851, CE Loss: 6.3401, Accuracy: 0.00%
iterasyon 38, epoch 39/100, Loss: 6.4155, Learning rate: 1e-05, MSE Loss: 0.0836, CE Loss: 6.3319, Accuracy: 0.00%
iterasyon 39, epoch 40/100, Loss: 6.4059, Learning rate: 1e-05, MSE Loss: 0.0822, CE Loss: 6.3237, Accuracy: 0.00%
iterasyon 40, epoch 41/100, Loss: 6.3964, Learning rate: 1e-05, MSE Loss: 0.0809, CE Loss: 6.3155, Accuracy: 0.00%
iterasyon 41, epoch 42/100, Loss: 6.3870, Learning rate: 1e-05, MSE Loss: 0.0796, CE Loss: 6.3074, Accuracy: 0.00%
iterasyon 42, epoch 43/100, Loss: 6.3777, Learning rate: 1e-05, MSE Loss: 0.0785, CE Loss: 6.2992, Accuracy: 0.00%
iterasyon 43, epoch 44/100, Loss: 6.3684, Learning rate: 1e-05, MSE Loss: 0.0773, CE Loss: 6.2910, Accuracy: 0.00%
iterasyon 44, epoch 45/100, Loss: 6.3591, Learning rate: 1e-05, MSE Loss: 0.0763, CE Loss: 6.2828, Accuracy: 0.00%
iterasyon 45, epoch 46/100, Loss: 6.3499, Learning rate: 1e-05, MSE Loss: 0.0752, CE Loss: 6.2746, Accuracy: 0.00%
iterasyon 46, epoch 47/100, Loss: 6.3407, Learning rate: 1e-05, MSE Loss: 0.0742, CE Loss: 6.2665, Accuracy: 0.00%
iterasyon 47, epoch 48/100, Loss: 6.3316, Learning rate: 1e-05, MSE Loss: 0.0733, CE Loss: 6.2583, Accuracy: 0.00%
iterasyon 48, epoch 49/100, Loss: 6.3226, Learning rate: 1e-05, MSE Loss: 0.0724, CE Loss: 6.2502, Accuracy: 1.28%
iterasyon 49, epoch 50/100, Loss: 6.3137, Learning rate: 1e-05, MSE Loss: 0.0715, CE Loss: 6.2422, Accuracy: 1.28%
iterasyon 50, epoch 51/100, Loss: 6.3047, Learning rate: 1e-05, MSE Loss: 0.0706, CE Loss: 6.2341, Accuracy: 1.28%
iterasyon 51, epoch 52/100, Loss: 6.2958, Learning rate: 1e-05, MSE Loss: 0.0698, CE Loss: 6.2260, Accuracy: 1.28%
iterasyon 52, epoch 53/100, Loss: 6.2869, Learning rate: 1e-05, MSE Loss: 0.0690, CE Loss: 6.2179, Accuracy: 1.28%
iterasyon 53, epoch 54/100, Loss: 6.2781, Learning rate: 1e-05, MSE Loss: 0.0682, CE Loss: 6.2098, Accuracy: 1.28%
